f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
10067,-0.53,0.13,9.86,10.00,-33.00,19.33,22.00,-32.00,2.00,35.70,101280,-1.47
10090,-0.53,0.22,9.77,9.00,-32.50,19.67,22.00,-32.00,3.00,35.70,101294,-2.73
10117,-0.48,0.18,9.86,9.50,-32.50,19.33,22.00,-31.00,1.00,35.70,101277,-1.20
10140,-0.57,0.22,9.82,9.83,-32.17,19.67,23.00,-30.00,1.00,35.70,101271,-0.66
10163,-0.44,0.18,9.86,9.67,-33.00,19.67,22.00,-32.00,3.00,35.70,101274,-0.93
10185,-0.48,0.22,9.91,9.83,-32.67,19.83,22.00,-31.00,2.00,35.70,101280,-1.47
10209,-0.53,0.22,9.82,9.67,-32.50,19.83,23.00,-30.00,2.00,35.70,101280,-1.47
10231,-0.57,0.18,9.86,10.33,-32.83,19.50,22.00,-31.00,3.00,35.70,101274,-0.93
10259,-0.48,0.18,9.91,9.83,-33.00,19.33,22.00,-31.00,2.00,35.70,101277,-1.20
10281,-0.48,0.18,9.77,9.83,-32.83,19.50,22.00,-29.00,3.00,35.70,101284,-1.83
10304,-0.48,0.13,9.77,9.83,-32.83,19.67,22.00,-30.00,2.00,35.70,101271,-0.66
10328,-0.44,0.18,9.77,9.67,-32.50,19.50,22.00,-31.00,2.00,35.70,101284,-1.83
10350,-0.53,0.18,9.91,9.67,-32.67,19.33,21.00,-31.00,3.00,35.70,101271,-0.66
10374,-0.48,0.13,9.86,10.00,-33.17,19.83,22.00,-30.00,2.00,35.70,101277,-1.20
10396,-0.53,0.22,9.82,9.67,-32.83,19.83,22.00,-30.00,2.00,35.70,101280,-1.47
10423,-0.48,0.26,9.82,9.67,-32.50,19.67,22.00,-31.00,3.00,35.70,101290,-2.37
10446,-0.53,0.26,9.86,9.83,-33.00,19.33,22.00,-31.00,2.00,35.70,101284,-1.83
10469,-0.44,0.26,9.91,9.67,-32.83,20.00,22.00,-31.00,2.00,35.70,101290,-2.37
10492,-0.53,0.22,9.86,10.17,-32.67,19.83,21.00,-31.00,1.00,35.70,101290,-2.37
10515,-0.44,0.18,9.95,9.33,-32.83,19.67,22.00,-31.00,2.00,35.70,101284,-1.83
10539,-0.48,0.18,9.77,9.50,-32.50,20.00,22.00,-31.00,2.00,35.70,101271,-0.66
10565,-0.48,0.18,9.86,9.83,-33.00,19.67,21.00,-30.00,2.00,35.70,101277,-1.20
10588,-0.53,0.18,9.82,9.50,-32.50,19.17,22.00,-30.00,2.00,35.70,101271,-0.66
10611,-0.57,0.13,9.77,9.83,-32.67,20.17,22.00,-30.00,3.00,35.70,101274,-0.93
10634,-0.48,0.13,9.82,9.67,-33.00,19.83,23.00,-30.00,2.00,35.70,101277,-1.20
